course_id,prof_id,score,rank,ethnicity,gender,language,age,bty_avg
65,12,4.7,teaching,not minority,male,english,37,4.333
66,12,4.7,teaching,not minority,male,english,37,4.333
67,12,3.5,teaching,not minority,male,english,37,4.333
68,13,4.1,tenured,not minority,male,english,42,4.833
69,13,4.2,tenured,not minority,male,english,42,4.833
70,13,4,tenured,not minority,male,english,42,4.833
71,13,4,tenured,not minority,male,english,42,4.833
72,13,3.9,tenured,not minority,male,english,42,4.833
73,13,4.4,tenured,not minority,male,english,42,4.833
74,13,3.8,tenured,not minority,male,english,42,4.833
75,14,3.5,tenured,not minority,male,non-english,49,4
76,14,4.2,tenured,not minority,male,non-english,49,4
77,14,3.5,tenured,not minority,male,non-english,49,4
78,14,3.6,tenured,not minority,male,non-english,49,4
79,15,2.9,tenure track,not minority,female,english,37,5.5
80,15,3.3,tenure track,not minority,female,english,37,5.5
81,15,3.3,tenure track,not minority,female,english,37,5.5
82,15,3.2,tenure track,not minority,female,english,37,5.5
83,16,4.6,tenured,not minority,male,english,45,4.167
84,16,4.2,tenured,not minority,male,english,45,4.167
85,16,4.3,tenured,not minority,male,english,45,4.167
86,16,4.4,tenured,not minority,male,english,45,4.167
87,16,4.1,tenured,not minority,male,english,45,4.167
88,16,4.6,tenured,not minority,male,english,45,4.167
89,17,4.4,teaching,not minority,female,english,56,2.5
90,17,4.8,teaching,not minority,female,english,56,2.5
91,17,4.3,teaching,not minority,female,english,56,2.5
92,17,3.6,teaching,not minority,female,english,56,2.5
93,17,4.3,teaching,not minority,female,english,56,2.5
94,18,4,teaching,not minority,male,english,48,4.333
95,18,4.2,teaching,not minority,male,english,48,4.333
96,18,4.1,teaching,not minority,male,english,48,4.333
97,18,4.1,teaching,not minority,male,english,48,4.333
98,18,4.4,teaching,not minority,male,english,48,4.333
99,18,4.3,teaching,not minority,male,english,48,4.333
100,18,4.4,teaching,not minority,male,english,48,4.333
101,18,4.4,teaching,not minority,male,english,48,4.333
102,19,4.9,tenured,not minority,female,english,46,4.333
103,19,5,tenured,not minority,female,english,46,4.333
104,19,4.4,tenured,not minority,female,english,46,4.333
105,19,4.8,tenured,not minority,female,english,46,4.333
106,19,4.9,tenured,not minority,female,english,46,4.333
107,19,4.3,tenured,not minority,female,english,46,4.333
108,19,5,tenured,not minority,female,english,46,4.333
109,19,4.7,tenured,not minority,female,english,46,4.333
110,19,4.5,tenured,not minority,female,english,46,4.333
111,20,3.5,teaching,not minority,female,english,57,4.333
112,20,3.9,teaching,not minority,female,english,57,4.333
113,20,4,teaching,not minority,female,english,57,4.333
114,20,4,teaching,not minority,female,english,57,4.333
115,20,3.7,teaching,not minority,female,english,57,4.333
116,20,3.4,teaching,not minority,female,english,57,4.333
117,20,3.3,teaching,not minority,female,english,57,4.333
118,20,3.8,teaching,not minority,female,english,57,4.333
119,20,3.9,teaching,not minority,female,english,57,4.333
120,20,3.4,teaching,not minority,female,english,57,4.333
121,21,3.7,teaching,not minority,female,english,52,4.833
122,21,4.1,teaching,not minority,female,english,52,4.833
123,21,3.7,teaching,not minority,female,english,52,4.833
124,21,3.5,teaching,not minority,female,english,52,4.833
125,21,3.5,teaching,not minority,female,english,52,4.833
126,21,4.4,teaching,not minority,female,english,52,4.833
127,22,3.4,tenure track,minority,female,non-english,29,2.833
128,23,4.3,tenured,not minority,male,english,62,3
129,23,3.7,tenured,not minority,male,english,62,3
130,23,4.7,tenured,not minority,male,english,62,3
131,23,3.9,tenured,not minority,male,english,62,3
132,23,3.6,tenured,not minority,male,english,62,3
133,24,4.5,tenured,not minority,male,english,64,4.167
134,24,4.5,tenured,not minority,male,english,64,4.167
135,24,4.8,tenured,not minority,male,english,64,4.167
136,24,4.8,tenured,not minority,male,english,64,4.167
137,24,4.7,tenured,not minority,male,english,64,4.167
138,24,4.5,tenured,not minority,male,english,64,4.167
139,24,4.3,tenured,not minority,male,english,64,4.167
140,25,4.8,tenure track,not minority,female,english,34,7.833
141,25,4.1,tenure track,not minority,female,english,34,7.833
142,26,4.4,tenured,not minority,male,english,58,3.833
143,26,4.3,tenured,not minority,male,english,58,3.833
144,26,3.6,tenured,not minority,male,english,58,3.833
145,26,4.5,tenured,not minority,male,english,58,3.833
146,26,4.3,tenured,not minority,male,english,58,3.833
147,27,4.4,tenured,minority,male,non-english,52,4.833
148,27,4.7,tenured,minority,male,non-english,52,4.833
149,27,4.8,tenured,minority,male,non-english,52,4.833
150,27,3.5,tenured,minority,male,non-english,52,4.833
151,27,3.8,tenured,minority,male,non-english,52,4.833
152,27,3.6,tenured,minority,male,non-english,52,4.833
153,27,4.2,tenured,minority,male,non-english,52,4.833
154,28,3.6,tenured,not minority,male,english,73,3
155,28,4.4,tenured,not minority,male,english,73,3
156,28,3.7,tenured,not minority,male,english,73,3
157,28,4.3,tenured,not minority,male,english,73,3
158,29,4.6,tenured,not minority,male,english,70,3
159,29,4.6,tenured,not minority,male,english,70,3
160,29,4.1,tenured,not minority,male,english,70,3
161,29,3.6,tenured,not minority,male,english,70,3
162,30,2.3,tenure track,not minority,female,english,41,5.167
163,31,4.3,teaching,not minority,male,english,63,4.333
164,31,4.4,teaching,not minority,male,english,63,4.333
165,31,3.6,teaching,not minority,male,english,63,4.333
166,31,4.4,teaching,not minority,male,english,63,4.333
167,31,3.9,teaching,not minority,male,english,63,4.333
168,31,3.8,teaching,not minority,male,english,63,4.333
169,31,3.4,teaching,not minority,male,english,63,4.333
170,32,4.9,tenured,not minority,male,english,47,2.667
171,32,4.1,tenured,not minority,male,english,47,2.667
172,32,3.2,tenured,not minority,male,english,47,2.667
173,33,4.2,tenured,not minority,male,english,39,5.5
174,33,3.9,tenured,not minority,male,english,39,5.5
175,33,4.9,tenured,not minority,male,english,39,5.5
176,33,4.7,tenured,not minority,male,english,39,5.5
177,33,4.4,tenured,not minority,male,english,39,5.5
178,34,4.2,tenure track,minority,female,english,47,4.333
179,34,4,tenure track,minority,female,english,47,4.333
180,34,4.4,tenure track,minority,female,english,47,4.333
181,34,3.9,tenure track,minority,female,english,47,4.333
182,34,4.4,tenure track,minority,female,english,47,4.333
183,34,3,tenure track,minority,female,english,47,4.333
184,34,3.5,tenure track,minority,female,english,47,4.333
185,34,2.8,tenure track,minority,female,english,47,4.333
186,34,4.6,tenure track,minority,female,english,47,4.333
187,34,4.3,tenure track,minority,female,english,47,4.333
188,34,3.4,tenure track,minority,female,english,47,4.333
189,34,3,tenure track,minority,female,english,47,4.333
190,34,4.2,tenure track,minority,female,english,47,4.333
191,35,4.3,tenured,not minority,male,english,54,2.333
192,35,4.1,tenured,not minority,male,english,54,2.333
193,35,4.6,tenured,not minority,male,english,54,2.333
194,36,3.9,tenured,minority,female,english,44,6.5
195,36,3.5,tenured,minority,female,english,44,6.5
196,36,4,tenured,minority,female,english,44,6.5
197,36,4,tenured,minority,female,english,44,6.5
198,37,3.9,tenured,minority,male,english,47,2.333
199,37,3.3,tenured,minority,male,english,47,2.333
200,37,4,tenured,minority,male,english,47,2.333
201,37,3.8,tenured,minority,male,english,47,2.333
202,37,4.2,tenured,minority,male,english,47,2.333
203,37,4,tenured,minority,male,english,47,2.333
204,37,3.8,tenured,minority,male,english,47,2.333
205,37,3.3,tenured,minority,male,english,47,2.333
206,23,4.1,tenured,not minority,male,english,62,3
207,23,4.7,tenured,not minority,male,english,62,3
208,23,4.4,tenured,not minority,male,english,62,3
209,38,4.8,tenured,not minority,male,english,60,3.667
210,38,4.8,tenured,not minority,male,english,60,3.667
211,38,4.6,tenured,not minority,male,english,60,3.667
212,38,4.6,tenured,not minority,male,english,60,3.667
213,38,4.8,tenured,not minority,male,english,60,3.667
214,38,4.4,tenured,not minority,male,english,60,3.667
215,38,4.7,tenured,not minority,male,english,60,3.667
216,38,4.7,tenured,not minority,male,english,60,3.667
217,39,3.3,tenure track,not minority,male,english,37,6.167
218,40,4.4,tenure track,not minority,male,english,42,4
219,40,4.3,tenure track,not minority,male,english,42,4
220,40,4.9,tenure track,not minority,male,english,42,4
221,40,4.4,tenure track,not minority,male,english,42,4
222,40,4.7,tenure track,not minority,male,english,42,4
223,41,4.3,tenured,not minority,male,english,35,4.833
224,41,4.8,tenured,not minority,male,english,35,4.833
225,41,4.5,tenured,not minority,male,english,35,4.833
226,41,4.7,tenured,not minority,male,english,35,4.833
227,42,3.3,teaching,not minority,female,english,39,8.167
228,42,4.7,teaching,not minority,female,english,39,8.167
229,42,4.6,teaching,not minority,female,english,39,8.167
230,42,3.6,teaching,not minority,female,english,39,8.167
231,43,4,tenured,not minority,male,english,49,6.5
232,43,4.1,tenured,not minority,male,english,49,6.5
233,43,4,tenured,not minority,male,english,49,6.5
234,44,4.5,tenured,not minority,male,english,61,4.833
235,44,4.6,tenured,not minority,male,english,61,4.833
236,44,4.8,tenured,not minority,male,english,61,4.833
237,44,4.6,tenured,not minority,male,english,61,4.833
238,45,4.9,tenure track,not minority,male,english,33,7
239,45,3.1,tenure track,not minority,male,english,33,7
240,45,3.7,tenure track,not minority,male,english,33,7
241,46,3.7,tenured,not minority,female,english,58,4.667
242,47,3.9,tenured,not minority,female,english,56,3.833
243,47,3.9,tenured,not minority,female,english,56,3.833
244,47,3.2,tenured,not minority,female,english,56,3.833
245,48,4.4,teaching,not minority,female,english,50,3.167
246,48,4.2,teaching,not minority,female,english,50,3.167
247,48,4.7,teaching,not minority,female,english,50,3.167
248,48,3.9,teaching,not minority,female,english,50,3.167
249,48,3.6,teaching,not minority,female,english,50,3.167
250,48,3.4,teaching,not minority,female,english,50,3.167
251,48,4.4,teaching,not minority,female,english,50,3.167
252,49,4.4,tenured,not minority,male,english,52,3.167
253,49,4.1,tenured,not minority,male,english,52,3.167
254,49,3.6,tenured,not minority,male,english,52,3.167
255,49,3.5,tenured,not minority,male,english,52,3.167
256,49,4.1,tenured,not minority,male,english,52,3.167
257,49,3.8,tenured,not minority,male,english,52,3.167
258,49,4,tenured,not minority,male,english,52,3.167
259,49,4.8,tenured,not minority,male,english,52,3.167
260,49,4.2,tenured,not minority,male,english,52,3.167
261,49,4.6,tenured,not minority,male,english,52,3.167
262,49,4.3,tenured,not minority,male,english,52,3.167
263,49,4.8,tenured,not minority,male,english,52,3.167
264,49,3.8,tenured,not minority,male,english,52,3.167
265,50,4.5,tenure track,not minority,female,english,33,5.833
266,50,4.9,tenure track,not minority,female,english,33,5.833
267,50,4.9,tenure track,not minority,female,english,33,5.833
268,50,4.8,tenure track,not minority,female,english,33,5.833
269,50,4.7,tenure track,not minority,female,english,33,5.833
270,50,4.6,tenure track,not minority,female,english,33,5.833
271,51,4.3,tenured,not minority,male,english,57,5.667
272,51,4.4,tenured,not minority,male,english,57,5.667
273,51,4.5,tenured,not minority,male,english,57,5.667
274,51,4.2,tenured,not minority,male,english,57,5.667
275,52,4.8,tenured,not minority,female,english,38,6.5
276,52,4.6,tenured,not minority,female,english,38,6.5
277,52,4.9,tenured,not minority,female,english,38,6.5
278,52,4.8,tenured,not minority,female,english,38,6.5
279,52,4.8,tenured,not minority,female,english,38,6.5
280,52,4.6,tenured,not minority,female,english,38,6.5
281,52,4.7,tenured,not minority,female,english,38,6.5
282,53,4.1,tenure track,not minority,female,english,34,1.667
283,53,3.8,tenure track,not minority,female,english,34,1.667
284,53,4,tenure track,not minority,female,english,34,1.667
285,53,4.1,tenure track,not minority,female,english,34,1.667
286,53,4,tenure track,not minority,female,english,34,1.667
287,53,4.1,tenure track,not minority,female,english,34,1.667
288,54,3.5,tenure track,not minority,male,english,34,6.667
289,54,4.1,tenure track,not minority,male,english,34,6.667
290,54,3.6,tenure track,not minority,male,english,34,6.667
291,55,4,tenure track,not minority,male,english,32,3.667
292,55,3.9,tenure track,not minority,male,english,32,3.667
293,55,3.8,tenure track,not minority,male,english,32,3.667
294,56,4.4,tenure track,not minority,male,english,32,3.833
295,56,4.7,tenure track,not minority,male,english,32,3.833
296,57,3.8,tenured,not minority,female,english,42,6.167
297,57,4.1,tenured,not minority,female,english,42,6.167
298,58,4.1,tenured,not minority,female,english,43,3.333
299,58,4.7,tenured,not minority,female,english,43,3.333
300,58,4.3,tenured,not minority,female,english,43,3.333
301,58,4.4,tenured,not minority,female,english,43,3.333
302,58,4.5,tenured,not minority,female,english,43,3.333
303,58,3.1,tenured,not minority,female,english,43,3.333
304,58,3.7,tenured,not minority,female,english,43,3.333
305,58,4.5,tenured,not minority,female,english,43,3.333
306,58,3,tenured,not minority,female,english,43,3.333
307,58,4.6,tenured,not minority,female,english,43,3.333
308,59,3.7,tenure track,not minority,male,non-english,35,3.667
309,59,3.6,tenure track,not minority,male,non-english,35,3.667
310,60,3.2,tenured,not minority,female,english,62,3.5
311,60,3.3,tenured,not minority,female,english,62,3.5
312,60,2.9,tenured,not minority,female,english,62,3.5
313,61,4.2,tenured,not minority,male,english,42,2.667
314,62,4.5,tenured,not minority,male,english,39,5.667
315,63,3.8,tenured,not minority,female,english,52,6
316,63,3.7,tenured,not minority,female,english,52,6
317,64,3.7,tenured,not minority,female,english,52,6.5
318,64,4,tenured,not minority,female,english,52,6.5
319,64,3.7,tenured,not minority,female,english,52,6.5
320,65,4.5,teaching,not minority,female,english,52,2.333
321,65,3.8,teaching,not minority,female,english,52,2.333
322,65,3.9,teaching,not minority,female,english,52,2.333
323,65,4.6,teaching,not minority,female,english,52,2.333
324,65,4.5,teaching,not minority,female,english,52,2.333
325,65,4.2,teaching,not minority,female,english,52,2.333
326,65,4,teaching,not minority,female,english,52,2.333
327,66,3.8,tenured,not minority,male,english,64,2.333
328,66,3.5,tenured,not minority,male,english,64,2.333
329,66,2.7,tenured,not minority,male,english,64,2.333
330,66,4,tenured,not minority,male,english,64,2.333
331,66,4.6,tenured,not minority,male,english,64,2.333
332,66,3.9,tenured,not minority,male,english,64,2.333
333,67,4.5,tenured,not minority,male,english,50,7.167
334,67,3.7,tenured,not minority,male,english,50,7.167
335,68,2.4,tenured,not minority,male,english,60,1.667
336,68,3.1,tenured,not minority,male,english,60,1.667
337,68,2.5,tenured,not minority,male,english,60,1.667
338,69,3,tenured,not minority,female,english,51,5.167
339,70,4.5,tenure track,not minority,male,english,43,3.5
340,70,4.8,tenure track,not minority,male,english,43,3.5
341,70,4.9,tenure track,not minority,male,english,43,3.5
342,70,4.5,tenure track,not minority,male,english,43,3.5
343,70,4.6,tenure track,not minority,male,english,43,3.5
344,70,4.5,tenure track,not minority,male,english,43,3.5
345,70,4.9,tenure track,not minority,male,english,43,3.5
346,70,4.4,tenure track,not minority,male,english,43,3.5
347,70,4.6,tenure track,not minority,male,english,43,3.5
348,71,4.6,teaching,minority,male,english,50,3.333
349,71,5,teaching,minority,male,english,50,3.333
350,71,4.9,teaching,minority,male,english,50,3.333
351,71,4.6,teaching,minority,male,english,50,3.333
352,71,4.8,teaching,minority,male,english,50,3.333
353,71,4.9,teaching,minority,male,english,50,3.333
354,71,4.9,teaching,minority,male,english,50,3.333
355,71,4.9,teaching,minority,male,english,50,3.333
356,71,5,teaching,minority,male,english,50,3.333
357,71,4.5,teaching,minority,male,english,50,3.333
358,72,3.5,tenured,not minority,male,english,52,5.833
359,72,3.8,tenured,not minority,male,english,52,5.833
360,72,3.9,tenured,not minority,male,english,52,5.833
361,72,3.9,tenured,not minority,male,english,52,5.833
362,72,4.2,tenured,not minority,male,english,52,5.833
363,72,4.1,tenured,not minority,male,english,52,5.833
364,73,4.8,tenured,not minority,male,english,51,6.167
365,73,4.8,tenured,not minority,male,english,51,6.167
366,73,4.8,tenured,not minority,male,english,51,6.167
367,73,4.8,tenured,not minority,male,english,51,6.167
368,73,4.9,tenured,not minority,male,english,51,6.167
369,74,4.2,tenured,not minority,male,english,38,3.333
370,74,4.5,tenured,not minority,male,english,38,3.333
371,74,3.9,tenured,not minority,male,english,38,3.333
372,74,4.4,tenured,not minority,male,english,38,3.333
373,75,4,tenured,not minority,female,english,47,5.167
374,75,3.6,tenured,not minority,female,english,47,5.167
375,76,3.7,tenured,minority,female,english,43,4.167
376,76,2.7,tenured,minority,female,english,43,4.167
377,77,4.5,teaching,not minority,female,english,38,2.5
378,77,4.4,teaching,not minority,female,english,38,2.5
379,77,3.9,teaching,not minority,female,english,38,2.5
380,77,3.6,teaching,not minority,female,english,38,2.5
381,77,4.4,teaching,not minority,female,english,38,2.5
382,77,4.4,teaching,not minority,female,english,38,2.5
383,78,4.7,tenured,not minority,male,english,43,4.333
384,78,4.5,tenured,not minority,male,english,43,4.333
385,78,4.1,tenured,not minority,male,english,43,4.333
386,78,3.7,tenured,not minority,male,english,43,4.333
387,79,4.3,tenured,not minority,male,english,57,3
388,79,3.5,tenured,not minority,male,english,57,3
389,79,3.7,tenured,not minority,male,english,57,3
390,80,4,tenured,not minority,female,english,51,6.333
391,80,4,tenured,not minority,female,english,51,6.333
392,80,3.1,tenured,not minority,female,english,51,6.333
393,80,4.5,tenured,not minority,female,english,51,6.333
394,81,4.8,teaching,not minority,male,english,45,3.333
395,81,4.2,teaching,not minority,male,english,45,3.333
396,81,4.9,teaching,not minority,male,english,45,3.333
397,81,4.8,teaching,not minority,male,english,45,3.333
398,82,3.5,tenured,not minority,male,english,57,2.833
399,82,3.6,tenured,not minority,male,english,57,2.833
400,82,4.4,tenured,not minority,male,english,57,2.833
401,82,3.4,tenured,not minority,male,english,57,2.833
402,82,3.9,tenured,not minority,male,english,57,2.833
403,82,3.8,tenured,not minority,male,english,57,2.833
404,82,4.8,tenured,not minority,male,english,57,2.833
405,82,4.6,tenured,not minority,male,english,57,2.833
406,82,5,tenured,not minority,male,english,57,2.833
407,82,3.8,tenured,not minority,male,english,57,2.833
408,82,4.2,tenured,not minority,male,english,57,2.833
409,83,3.3,teaching,not minority,female,english,47,6.667
410,83,4.7,teaching,not minority,female,english,47,6.667
411,83,4.6,teaching,not minority,female,english,47,6.667
412,83,4.6,teaching,not minority,female,english,47,6.667
413,83,4,teaching,not minority,female,english,47,6.667
414,84,4.2,tenured,minority,female,english,54,6.833
415,84,4.9,tenured,minority,female,english,54,6.833
416,84,4.5,tenured,minority,female,english,54,6.833
417,84,4.8,tenured,minority,female,english,54,6.833
418,84,3.8,tenured,minority,female,english,54,6.833
419,85,4.8,teaching,not minority,male,english,58,7.833
420,85,5,teaching,not minority,male,english,58,7.833
421,85,5,teaching,not minority,male,english,58,7.833
422,85,4.9,teaching,not minority,male,english,58,7.833
423,85,4.6,teaching,not minority,male,english,58,7.833
424,85,5,teaching,not minority,male,english,58,7.833
425,85,4.8,teaching,not minority,male,english,58,7.833
426,85,4.9,teaching,not minority,male,english,58,7.833
427,86,4.9,tenured,not minority,male,english,42,7.833
428,86,3.9,tenured,not minority,male,english,42,7.833
429,86,3.9,tenured,not minority,male,english,42,7.833
430,87,4.5,tenure track,not minority,male,english,33,5.833
431,87,4.5,tenure track,not minority,male,english,33,5.833
432,88,3.3,tenured,not minority,male,english,62,2
433,88,3.1,tenured,not minority,male,english,62,2
434,88,2.8,tenured,not minority,male,english,62,2
435,88,3.1,tenured,not minority,male,english,62,2
436,88,4.2,tenured,not minority,male,english,62,2
437,88,3.4,tenured,not minority,male,english,62,2
438,88,3,tenured,not minority,male,english,62,2
439,89,3.3,tenure track,minority,female,english,35,7.833
440,89,3.6,tenure track,minority,female,english,35,7.833
441,89,3.7,tenure track,minority,female,english,35,7.833
442,90,3.6,tenured,not minority,male,english,61,3.333
443,90,4.3,tenured,not minority,male,english,61,3.333
444,91,4.1,tenured,not minority,female,english,52,4.5
445,91,4.9,tenured,not minority,female,english,52,4.5
446,91,4.8,tenured,not minority,female,english,52,4.5
447,92,3.7,tenure track,not minority,female,non-english,60,4.333
448,92,3.9,tenure track,not minority,female,non-english,60,4.333
449,92,4.5,tenure track,not minority,female,non-english,60,4.333
450,92,3.6,tenure track,not minority,female,non-english,60,4.333
451,92,4.4,tenure track,not minority,female,non-english,60,4.333
452,92,3.4,tenure track,not minority,female,non-english,60,4.333
453,92,4.4,tenure track,not minority,female,non-english,60,4.333
454,93,4.5,tenure track,not minority,male,english,32,6.833
455,93,4.5,tenure track,not minority,male,english,32,6.833
456,93,4.5,tenure track,not minority,male,english,32,6.833
457,93,4.6,tenure track,not minority,male,english,32,6.833
458,93,4.1,tenure track,not minority,male,english,32,6.833
459,93,4.5,tenure track,not minority,male,english,32,6.833
460,94,3.5,tenure track,minority,female,non-english,42,5.333
461,94,4.4,tenure track,minority,female,non-english,42,5.333
462,94,4.4,tenure track,minority,female,non-english,42,5.333
463,94,4.1,tenure track,minority,female,non-english,42,5.333
