state_abbr,county_name,Democrat,Republican,Bachelors,Earnings,White,Population,Age
AK,Alaska,0,1,0,0,0,0,0
AK,Alaska,0,1,1,1,0,1,1
AK,Alaska,0,1,0,0,0,0,1
AK,Alaska,0,1,0,1,0,0,0
AK,Alaska,0,1,1,1,1,0,0
AK,Alaska,0,1,1,0,0,0,1
AK,Alaska,0,1,1,1,0,0,1
AK,Alaska,0,1,1,0,1,0,0
AK,Alaska,0,1,1,0,0,0,0
AK,Alaska,0,1,1,1,0,0,0
AK,Alaska,0,1,1,1,1,0,0
AK,Alaska,0,1,1,1,0,0,0
AK,Alaska,0,1,1,1,0,0,1
AK,Alaska,0,1,0,0,0,0,1
AK,Alaska,0,1,1,1,1,0,1
AK,Alaska,0,1,0,0,0,0,1
AK,Alaska,0,1,0,0,0,0,1
AK,Alaska,0,1,0,0,0,0,1
AK,Alaska,0,1,1,1,0,0,0
AK,Alaska,0,1,0,0,0,0,0
AK,Alaska,0,1,1,1,0,0,0
AK,Alaska,0,1,1,1,1,0,0
AK,Alaska,0,1,0,1,0,0,1
AK,Alaska,0,1,1,1,0,0,0
AK,Alaska,0,1,0,0,0,0,1
AK,Alaska,0,1,0,0,0,0,0
AK,Alaska,0,1,0,1,0,0,0
AK,Alaska,0,1,0,0,0,0,1
AZ,Apache County,1,0,0,0,0,0,1
AZ,Cochise County,0,1,1,0,0,0,0
AZ,Coconino County,1,0,1,0,0,0,1
AZ,Gila County,0,1,0,0,0,0,0
AZ,Graham County,0,1,0,0,0,0,1
AZ,Greenlee County,0,1,0,1,0,0,1
AZ,La Paz County,0,1,0,0,0,0,0
AZ,Maricopa County,0,1,1,1,0,1,1
AZ,Mohave County,0,1,0,0,0,0,0
AZ,Navajo County,0,1,0,0,0,0,1
AZ,Pima County,1,0,1,0,0,1,0
AZ,Pinal County,0,1,0,1,0,1,1
AZ,Santa Cruz County,1,0,0,0,0,0,1
AZ,Yavapai County,0,1,1,0,1,0,0
AZ,Yuma County,0,1,0,0,0,0,1
AR,Arkansas County,0,1,0,0,0,0,0
AR,Ashley County,0,1,0,0,0,0,0
AR,Baxter County,0,1,0,0,1,0,0
AR,Benton County,0,1,1,1,0,0,1
AR,Boone County,0,1,0,0,1,0,0
AR,Bradley County,0,1,0,0,0,0,0
AR,Calhoun County,0,1,0,0,0,0,0
AR,Carroll County,0,1,0,0,1,0,0
AR,Chicot County,1,0,0,0,0,0,0
AR,Clark County,0,1,1,0,0,0,1
AR,Clay County,0,1,0,0,1,0,0
AR,Cleburne County,0,1,0,0,1,0,0
AR,Cleveland County,0,1,0,0,1,0,0
AR,Columbia County,0,1,1,0,0,0,1
AR,Conway County,0,1,0,0,1,0,0
AR,Craighead County,0,1,1,0,1,0,1
AR,Crawford County,0,1,0,0,1,0,0
AR,Crittenden County,1,0,0,0,0,0,1
AR,Cross County,0,1,0,0,0,0,0
AR,Dallas County,0,1,0,0,0,0,0
AR,Desha County,1,0,0,0,0,0,0
AR,Drew County,0,1,0,0,0,0,1
AR,Faulkner County,0,1,1,0,1,0,1
AR,Franklin County,0,1,0,0,1,0,0
AR,Fulton County,0,1,0,0,1,0,0
AR,Garland County,0,1,1,0,1,0,0
AR,Grant County,0,1,0,1,1,0,0
AR,Greene County,0,1,0,0,1,0,0
AR,Hempstead County,0,1,0,0,0,0,0
AR,Hot Spring County,0,1,0,0,1,0,0
AR,Howard County,0,1,0,0,0,0,0
AR,Independence County,0,1,0,0,1,0,0
AR,Izard County,0,1,0,0,1,0,0
AR,Jackson County,0,1,0,0,0,0,0
AR,Jefferson County,1,0,0,0,0,0,1
AR,Johnson County,0,1,0,0,1,0,0
AR,Lafayette County,0,1,0,0,0,0,0
AR,Lawrence County,0,1,0,0,1,0,0
AR,Lee County,1,0,0,0,0,0,0
AR,Lincoln County,0,1,0,0,0,0,1
AR,Little River County,0,1,0,0,0,0,0
AR,Logan County,0,1,0,0,1,0,0
AR,Lonoke County,0,1,0,1,1,0,1
AR,Madison County,0,1,0,0,1,0,0
AR,Marion County,0,1,0,0,1,0,0
AR,Miller County,0,1,0,0,0,0,0
AR,Mississippi County,0,1,0,0,0,0,1
AR,Monroe County,0,1,0,0,0,0,0
AR,Montgomery County,0,1,0,0,1,0,0
AR,Nevada County,0,1,0,0,0,0,0
AR,Newton County,0,1,0,0,1,0,0
AR,Ouachita County,0,1,0,0,0,0,0
AR,Perry County,0,1,0,0,1,0,0
AR,Phillips County,1,0,0,0,0,0,1
AR,Pike County,0,1,0,0,1,0,0
AR,Poinsett County,0,1,0,0,1,0,0
AR,Polk County,0,1,0,0,1,0,0
AR,Pope County,0,1,1,0,1,0,1
AR,Prairie County,0,1,0,0,1,0,0
AR,Pulaski County,1,0,1,1,0,1,1
AR,Randolph County,0,1,0,0,1,0,0
AR,St. Francis County,1,0,0,0,0,0,1
AR,Saline County,0,1,1,1,1,0,0
AR,Scott County,0,1,0,0,1,0,0
AR,Searcy County,0,1,0,0,1,0,0
AR,Sebastian County,0,1,0,0,0,0,1
AR,Sevier County,0,1,0,0,0,0,1
AR,Sharp County,0,1,0,0,1,0,0
AR,Stone County,0,1,0,0,1,0,0
AR,Union County,0,1,0,0,0,0,0
AR,Van Buren County,0,1,0,0,1,0,0
AR,Washington County,0,1,1,0,0,0,1
AR,White County,0,1,0,0,1,0,1
AR,Woodruff County,0,1,0,0,0,0,0
AR,Yell County,0,1,0,0,0,0,0
CA,Alameda County,1,0,1,1,0,1,1
CA,Alpine County,1,0,1,1,0,0,0
CA,Amador County,0,1,0,1,1,0,0
CA,Butte County,0,1,1,0,0,0,0
CA,Calaveras County,0,1,0,1,1,0,0
CA,Colusa County,0,1,0,0,0,0,1
CA,Contra Costa County,1,0,1,1,0,1,0
CA,Del Norte County,0,1,0,0,0,0,0
CA,El Dorado County,0,1,1,1,1,0,0
CA,Fresno County,1,0,0,0,0,1,1
CA,Glenn County,0,1,0,0,0,0,1
CA,Humboldt County,1,0,1,0,0,0,0
CA,Imperial County,1,0,0,0,0,0,1
CA,Inyo County,0,1,1,1,0,0,0
CA,Kern County,0,1,0,0,0,1,1
CA,Kings County,0,1,0,0,0,0,1
CA,Lake County,1,0,0,0,0,0,0
CA,Lassen County,0,1,0,0,0,0,0
CA,Los Angeles County,1,0,1,1,0,1,1
CA,Madera County,0,1,0,0,0,0,1
CA,Marin County,1,0,1,1,0,1,0
CA,Mariposa County,0,1,1,1,1,0,0
CA,Mendocino County,1,0,1,0,0,0,0
CA,Merced County,1,0,0,0,0,1,1
CA,Modoc County,0,1,0,0,0,0,0
CA,Mono County,1,0,1,0,0,0,1
CA,Monterey County,1,0,1,0,0,1,1
CA,Napa County,1,0,1,1,0,0,0
CA,Nevada County,1,0,1,1,1,0,0
CA,Orange County,1,0,1,1,0,1,1
CA,Placer County,0,1,1,1,0,1,0
CA,Plumas County,0,1,0,1,1,0,0
CA,Riverside County,1,0,1,1,0,1,1
CA,Sacramento County,1,0,1,1,0,1,1
CA,San Benito County,1,0,0,1,0,0,1
CA,San Bernardino County,1,0,0,1,0,1,1
CA,San Diego County,1,0,1,1,0,1,1
CA,San Francisco County,1,0,1,1,0,1,0
CA,San Joaquin County,1,0,0,1,0,1,1
CA,San Luis Obispo County,1,0,1,0,0,1,0
CA,San Mateo County,1,0,1,1,0,1,0
CA,Santa Barbara County,1,0,1,0,0,1,1
CA,Santa Clara County,1,0,1,1,0,1,1
CA,Santa Cruz County,1,0,1,1,0,1,1
CA,Shasta County,0,1,0,0,1,0,0
CA,Sierra County,0,1,1,1,1,0,0
CA,Siskiyou County,0,1,1,0,1,0,0
CA,Solano County,1,0,1,1,0,1,1
CA,Sonoma County,1,0,1,1,0,1,0
CA,Stanislaus County,1,0,0,1,0,1,1
CA,Sutter County,0,1,0,0,0,0,1
CA,Tehama County,0,1,0,0,0,0,0
CA,Trinity County,0,1,0,0,1,0,0
CA,Tulare County,0,1,0,0,0,1,1
CA,Tuolumne County,0,1,0,0,1,0,0
CA,Ventura County,1,0,1,1,0,1,1
CA,Yolo County,1,0,1,1,0,0,1
CA,Yuba County,0,1,0,0,0,0,1
CO,Adams County,1,0,1,1,0,1,1
CO,Alamosa County,1,0,1,0,0,0,1
CO,Arapahoe County,1,0,1,1,0,1,1
CO,Archuleta County,0,1,1,0,0,0,1
CO,Baca County,0,1,0,0,1,0,0
CO,Bent County,0,1,0,0,0,0,0
CO,Boulder County,1,0,1,1,0,1,1
CO,Broomfield County,1,0,1,1,0,0,1
CO,Chaffee County,0,1,1,0,1,0,0
CO,Cheyenne County,0,1,0,0,1,0,0
CO,Clear Creek County,1,0,1,1,1,0,0
CO,Conejos County,0,1,0,0,0,0,0
CO,Costilla County,1,0,0,0,0,0,0
CO,Crowley County,0,1,0,0,0,0,0
CO,Custer County,0,1,1,0,1,0,0
CO,Delta County,0,1,0,0,1,0,0
CO,Denver County,1,0,1,1,0,1,1
CO,Dolores County,0,1,0,0,1,0,0
CO,Douglas County,0,1,1,1,1,1,1
CO,Eagle County,1,0,1,1,0,0,1
CO,Elbert County,0,1,1,1,1,0,0
CO,El Paso County,0,1,1,1,0,1,1
CO,Fremont County,0,1,0,0,1,0,0
CO,Garfield County,0,1,1,1,0,0,1
CO,Gilpin County,1,0,1,1,1,0,0
CO,Grand County,0,1,1,1,1,0,0
CO,Gunnison County,1,0,1,0,1,0,1
CO,Hinsdale County,0,1,1,0,1,0,0
CO,Huerfano County,0,1,1,0,0,0,0
CO,Jackson County,0,1,1,0,1,0,0
CO,Jefferson County,1,0,1,1,1,1,0
CO,Kiowa County,0,1,1,0,1,0,0
CO,Kit Carson County,0,1,0,0,0,0,0
CO,Lake County,1,0,1,0,0,0,1
CO,La Plata County,1,0,1,0,1,0,0
CO,Larimer County,1,0,1,0,1,1,1
CO,Las Animas County,0,1,0,0,0,0,0
CO,Lincoln County,0,1,0,0,0,0,0
CO,Logan County,0,1,0,0,0,0,0
CO,Mesa County,0,1,1,1,1,0,0
CO,Mineral County,0,1,1,0,1,0,0
CO,Moffat County,0,1,0,1,1,0,1
CO,Montezuma County,0,1,1,0,0,0,0
CO,Montrose County,0,1,1,0,0,0,0
CO,Morgan County,0,1,0,0,0,0,1
CO,Otero County,0,1,0,0,0,0,0
CO,Ouray County,1,0,1,0,1,0,0
CO,Park County,0,1,1,1,1,0,0
CO,Phillips County,0,1,0,0,0,0,0
CO,Pitkin County,1,0,1,1,1,0,0
CO,Prowers County,0,1,0,0,0,0,1
CO,Pueblo County,1,0,1,0,0,0,0
CO,Rio Blanco County,0,1,1,1,1,0,0
CO,Rio Grande County,0,1,0,0,0,0,0
CO,Routt County,1,0,1,1,1,0,0
CO,Saguache County,1,0,0,0,0,0,0
CO,San Juan County,1,0,1,1,1,0,0
CO,San Miguel County,1,0,1,1,1,0,0
CO,Sedgwick County,0,1,0,0,1,0,0
CO,Summit County,1,0,1,1,1,0,1
CO,Teller County,0,1,1,1,1,0,0
CO,Washington County,0,1,0,0,1,0,0
CO,Weld County,0,1,1,1,0,1,1
CO,Yuma County,0,1,0,0,0,0,1
CT,Fairfield County,1,0,1,1,0,1,0
CT,Hartford County,1,0,1,1,0,1,0
CT,Litchfield County,0,1,1,1,1,0,0
CT,Middlesex County,1,0,1,1,1,0,0
CT,New Haven County,1,0,1,1,0,1,0
CT,New London County,1,0,1,1,0,1,0
CT,Tolland County,1,0,1,1,1,0,0
CT,Windham County,0,1,1,1,1,0,0
DE,Kent County,0,1,0,1,0,0,1
DE,New Castle County,1,0,1,1,0,1,1
DE,Sussex County,0,1,1,1,0,0,0
DC,District of Columbia,1,0,1,0,0,1,1
FL,Alachua County,1,0,1,0,0,1,1
FL,Baker County,0,1,0,1,1,0,1
FL,Bay County,0,1,1,0,0,0,0
FL,Bradford County,0,1,0,0,0,0,0
FL,Brevard County,0,1,1,1,0,1,0
FL,Broward County,1,0,1,1,0,1,0
FL,Calhoun County,0,1,0,0,0,0,0
FL,Charlotte County,0,1,1,0,1,0,0
FL,Citrus County,0,1,0,0,1,0,0
FL,Clay County,0,1,1,1,0,0,0
FL,Collier County,0,1,1,1,0,1,0
FL,Columbia County,0,1,0,0,0,0,0
FL,DeSoto County,0,1,0,0,0,0,0
FL,Dixie County,0,1,0,0,1,0,0
FL,Duval County,0,1,1,1,0,1,1
FL,Escambia County,0,1,1,0,0,1,0
FL,Flagler County,0,1,1,1,0,0,0
FL,Franklin County,0,1,0,0,1,0,0
FL,Gadsden County,1,0,0,0,0,0,0
FL,Gilchrist County,0,1,0,0,1,0,0
FL,Glades County,0,1,0,0,0,0,0
FL,Gulf County,0,1,0,0,0,0,0
FL,Hamilton County,0,1,0,0,0,0,0
FL,Hardee County,0,1,0,0,0,0,1
FL,Hendry County,0,1,0,0,0,0,1
FL,Hernando County,0,1,0,0,1,0,0
FL,Highlands County,0,1,0,0,0,0,0
FL,Hillsborough County,1,0,1,1,0,1,1
FL,Holmes County,0,1,0,0,1,0,0
FL,Indian River County,0,1,1,0,0,0,0
FL,Jackson County,0,1,0,0,0,0,0
FL,Jefferson County,0,1,0,1,0,0,0
FL,Lafayette County,0,1,0,0,0,0,1
FL,Lake County,0,1,1,0,0,1,0
FL,Lee County,0,1,1,1,0,1,0
FL,Leon County,1,0,1,0,0,1,1
FL,Levy County,0,1,0,0,1,0,0
FL,Liberty County,0,1,0,0,0,0,0
FL,Madison County,0,1,0,0,0,0,0
FL,Manatee County,0,1,1,1,0,1,0
FL,Marion County,0,1,0,0,0,1,0
FL,Martin County,0,1,1,1,1,0,0
FL,Miami-Dade County,1,0,1,0,0,1,0
FL,Monroe County,0,1,1,1,0,0,0
FL,Nassau County,0,1,1,1,1,0,0
FL,Okaloosa County,0,1,1,1,0,0,0
FL,Okeechobee County,0,1,0,0,0,0,0
FL,Orange County,1,0,1,1,0,1,1
FL,Osceola County,1,0,0,0,0,1,1
FL,Palm Beach County,1,0,1,1,0,1,0
FL,Pasco County,0,1,0,1,1,1,0
FL,Pinellas County,0,1,1,1,0,1,0
FL,Polk County,0,1,0,0,0,1,0
FL,Putnam County,0,1,0,0,0,0,0
FL,St. Johns County,0,1,1,1,1,0,0
FL,St. Lucie County,0,1,0,0,0,1,0
FL,Santa Rosa County,0,1,1,1,1,0,0
FL,Sarasota County,0,1,1,1,1,1,0
FL,Seminole County,0,1,1,1,0,1,0
FL,Sumter County,0,1,0,0,1,0,0
FL,Suwannee County,0,1,0,0,0,0,0
FL,Taylor County,0,1,0,0,0,0,0
FL,Union County,0,1,0,0,0,0,0
FL,Volusia County,0,1,1,0,0,1,0
FL,Wakulla County,0,1,0,1,1,0,0
FL,Walton County,0,1,1,0,1,0,0
FL,Washington County,0,1,0,0,0,0,0
GA,Appling County,0,1,0,0,0,0,0
GA,Atkinson County,0,1,0,0,0,0,1
GA,Bacon County,0,1,0,0,0,0,1
GA,Baker County,0,1,0,0,0,0,0
GA,Baldwin County,1,0,0,0,0,0,1
GA,Banks County,0,1,0,1,1,0,0
GA,Barrow County,0,1,0,1,0,0,1
GA,Bartow County,0,1,0,1,1,0,1
GA,Ben Hill County,0,1,0,0,0,0,0
GA,Berrien County,0,1,0,0,1,0,0
GA,Bibb County,1,0,1,0,0,0,1
GA,Bleckley County,0,1,0,0,0,0,0
GA,Brantley County,0,1,0,1,1,0,0
GA,Brooks County,0,1,0,0,0,0,0
GA,Bryan County,0,1,1,1,0,0,1
GA,Bulloch County,0,1,1,0,0,0,1
GA,Burke County,1,0,0,0,0,0,1
GA,Butts County,0,1,0,1,0,0,0
GA,Calhoun County,1,0,0,0,0,0,1
GA,Camden County,0,1,1,1,0,0,1
GA,Candler County,0,1,0,0,0,0,0
GA,Carroll County,0,1,0,0,0,0,1
GA,Catoosa County,0,1,0,1,1,0,0
GA,Charlton County,0,1,0,0,0,0,1
GA,Chatham County,1,0,1,1,0,1,1
GA,Chattahoochee County,0,1,1,1,0,0,1
GA,Chattooga County,0,1,0,0,1,0,0
GA,Cherokee County,0,1,1,1,1,0,1
GA,Clarke County,1,0,1,0,0,0,1
GA,Clay County,1,0,0,0,0,0,0
GA,Clayton County,1,0,0,0,0,1,1
GA,Clinch County,0,1,0,0,0,0,1
GA,Cobb County,1,0,1,1,0,1,1
GA,Coffee County,0,1,0,0,0,0,1
GA,Colquitt County,0,1,0,0,0,0,1
GA,Columbia County,0,1,1,1,0,0,1
GA,Cook County,0,1,0,0,0,0,1
GA,Coweta County,0,1,1,1,0,0,1
GA,Crawford County,0,1,0,1,0,0,0
GA,Crisp County,0,1,0,0,0,0,0
GA,Dade County,0,1,0,0,1,0,0
GA,Dawson County,0,1,0,1,1,0,0
GA,Decatur County,0,1,0,0,0,0,1
GA,DeKalb County,1,0,1,1,0,1,1
GA,Dodge County,0,1,0,0,0,0,0
GA,Dooly County,0,1,0,0,0,0,0
GA,Dougherty County,1,0,0,0,0,0,1
GA,Douglas County,1,0,1,1,0,0,1
GA,Early County,0,1,0,0,0,0,0
GA,Echols County,0,1,0,0,0,0,1
GA,Effingham County,0,1,0,1,1,0,1
GA,Elbert County,0,1,0,0,0,0,0
GA,Emanuel County,0,1,0,0,0,0,1
GA,Evans County,0,1,0,0,0,0,1
GA,Fannin County,0,1,0,0,1,0,0
GA,Fayette County,0,1,1,1,0,0,0
GA,Floyd County,0,1,0,0,0,0,0
GA,Forsyth County,0,1,1,1,1,0,1
GA,Franklin County,0,1,0,0,1,0,0
GA,Fulton County,1,0,1,1,0,1,1
GA,Gilmer County,0,1,0,0,1,0,0
GA,Glascock County,0,1,0,0,1,0,0
GA,Glynn County,0,1,1,1,0,0,0
GA,Gordon County,0,1,0,0,1,0,1
GA,Grady County,0,1,0,0,0,0,1
GA,Greene County,0,1,0,0,0,0,0
GA,Gwinnett County,1,0,1,1,0,1,1
GA,Habersham County,0,1,0,0,1,0,1
GA,Hall County,0,1,1,1,0,0,1
GA,Hancock County,1,0,0,0,0,0,0
GA,Haralson County,0,1,0,0,1,0,0
GA,Harris County,0,1,1,1,0,0,0
GA,Hart County,0,1,0,0,0,0,0
GA,Heard County,0,1,0,0,1,0,0
GA,Henry County,1,0,1,1,0,0,1
GA,Houston County,0,1,1,1,0,0,1
GA,Irwin County,0,1,0,0,0,0,0
GA,Jackson County,0,1,0,1,1,0,1
GA,Jasper County,0,1,0,0,0,0,0
GA,Jeff Davis County,0,1,0,0,0,0,1
GA,Jefferson County,1,0,0,0,0,0,0
GA,Jenkins County,0,1,0,0,0,0,0
GA,Johnson County,0,1,0,0,0,0,0
GA,Jones County,0,1,0,1,0,0,0
GA,Lamar County,0,1,0,0,0,0,0
GA,Lanier County,0,1,0,0,0,0,1
GA,Laurens County,0,1,0,0,0,0,0
GA,Lee County,0,1,0,1,0,0,1
GA,Liberty County,1,0,0,0,0,0,1
GA,Lincoln County,0,1,0,0,0,0,0
GA,Long County,0,1,0,0,0,0,1
GA,Lowndes County,0,1,1,0,0,0,1
GA,Lumpkin County,0,1,0,0,1,0,1
GA,McDuffie County,0,1,0,0,0,0,0
GA,McIntosh County,0,1,0,0,0,0,0
GA,Macon County,1,0,0,0,0,0,0
GA,Madison County,0,1,0,1,1,0,0
GA,Marion County,0,1,0,0,0,0,0
GA,Meriwether County,0,1,0,0,0,0,0
GA,Miller County,0,1,0,0,0,0,0
GA,Mitchell County,0,1,0,0,0,0,0
GA,Monroe County,0,1,0,1,0,0,0
GA,Montgomery County,0,1,0,0,0,0,1
GA,Morgan County,0,1,1,0,0,0,0
GA,Murray County,0,1,0,0,1,0,1
GA,Muscogee County,1,0,1,0,0,0,1
GA,Newton County,1,0,0,1,0,0,1
GA,Oconee County,0,1,1,1,1,0,0
GA,Oglethorpe County,0,1,0,0,0,0,0
GA,Paulding County,0,1,1,1,0,0,1
GA,Peach County,0,1,0,0,0,0,1
GA,Pickens County,0,1,1,1,1,0,0
GA,Pierce County,0,1,0,0,1,0,0
GA,Pike County,0,1,0,1,1,0,0
GA,Polk County,0,1,0,0,0,0,1
GA,Pulaski County,0,1,0,0,0,0,0
GA,Putnam County,0,1,0,0,0,0,0
GA,Quitman County,0,1,0,0,0,0,0
GA,Rabun County,0,1,1,0,1,0,0
GA,Randolph County,1,0,0,0,0,0,1
GA,Richmond County,1,0,1,0,0,0,1
GA,Rockdale County,1,0,1,1,0,0,1
GA,Schley County,0,1,0,0,0,0,0
GA,Screven County,0,1,0,0,0,0,0
GA,Seminole County,0,1,0,0,0,0,0
GA,Spalding County,0,1,0,0,0,0,1
GA,Stephens County,0,1,0,0,1,0,0
GA,Stewart County,1,0,0,0,0,0,0
GA,Sumter County,1,0,0,0,0,0,1
GA,Talbot County,1,0,0,0,0,0,0
GA,Taliaferro County,1,0,0,0,0,0,0
GA,Tattnall County,0,1,0,0,0,0,1
GA,Taylor County,0,1,0,0,0,0,0
GA,Telfair County,0,1,0,0,0,0,0
GA,Terrell County,1,0,0,0,0,0,0
GA,Thomas County,0,1,0,0,0,0,0
GA,Tift County,0,1,0,0,0,0,1
GA,Toombs County,0,1,0,0,0,0,1
GA,Towns County,0,1,1,0,1,0,0
GA,Treutlen County,0,1,0,0,0,0,1
GA,Troup County,0,1,0,0,0,0,1
GA,Turner County,0,1,0,0,0,0,1
GA,Twiggs County,0,1,0,1,0,0,0
GA,Union County,0,1,1,0,1,0,0
GA,Upson County,0,1,0,0,0,0,0
GA,Walker County,0,1,0,0,1,0,0
GA,Walton County,0,1,0,1,0,0,0
GA,Ware County,0,1,0,0,0,0,0
GA,Warren County,1,0,0,0,0,0,0
GA,Washington County,1,0,0,0,0,0,0
GA,Wayne County,0,1,0,0,0,0,0
GA,Webster County,0,1,0,0,0,0,0
GA,Wheeler County,0,1,0,0,0,0,1
GA,White County,0,1,0,1,1,0,0
GA,Whitfield County,0,1,0,0,0,0,1
GA,Wilcox County,0,1,0,0,0,0,0
GA,Wilkes County,0,1,0,0,0,0,0
GA,Wilkinson County,0,1,0,0,0,0,0
GA,Worth County,0,1,0,0,0,0,0
HI,Hawaii County,1,0,1,1,0,0,0
HI,Honolulu County,1,0,1,1,0,1,0
HI,Kauai County,1,0,1,1,0,0,0
HI,Maui County,1,0,1,1,0,0,0
ID,Ada County,0,1,1,1,1,1,1
ID,Adams County,0,1,1,0,1,0,0
ID,Bannock County,0,1,1,0,1,0,1
ID,Bear Lake County,0,1,0,0,1,0,0
ID,Benewah County,0,1,0,0,1,0,0
ID,Bingham County,0,1,0,0,0,0,1
ID,Blaine County,1,0,1,1,0,0,0
ID,Boise County,0,1,1,1,1,0,0
ID,Bonner County,0,1,1,0,1,0,0
ID,Bonneville County,0,1,1,0,1,0,1
ID,Boundary County,0,1,0,0,1,0,0
ID,Butte County,0,1,0,0,1,0,0
ID,Camas County,0,1,1,0,1,0,0
ID,Canyon County,0,1,0,0,0,0,1
ID,Caribou County,0,1,0,0,1,0,0
ID,Cassia County,0,1,0,0,0,0,1
ID,Clark County,0,1,0,0,0,0,0
ID,Clearwater County,0,1,0,0,1,0,0
ID,Custer County,0,1,1,0,1,0,0
ID,Elmore County,0,1,0,0,0,0,1
ID,Franklin County,0,1,0,0,1,0,1
ID,Fremont County,0,1,0,0,1,0,1
ID,Gem County,0,1,0,0,1,0,0
ID,Gooding County,0,1,0,0,0,0,1
ID,Idaho County,0,1,0,0,1,0,0
ID,Jefferson County,0,1,0,0,1,0,1
ID,Jerome County,0,1,0,0,0,0,1
ID,Kootenai County,0,1,1,0,1,0,0
ID,Latah County,1,0,1,0,1,0,1
ID,Lemhi County,0,1,1,0,1,0,0
ID,Lewis County,0,1,0,0,1,0,0
ID,Lincoln County,0,1,0,0,0,0,1
ID,Madison County,0,1,1,0,1,0,1
ID,Minidoka County,0,1,0,0,0,0,1
ID,Nez Perce County,0,1,0,0,1,0,0
ID,Oneida County,0,1,0,0,1,0,0
ID,Owyhee County,0,1,0,0,0,0,1
ID,Payette County,0,1,0,0,1,0,1
ID,Power County,0,1,0,0,0,0,1
ID,Shoshone County,0,1,0,0,1,0,0
ID,Teton County,0,1,1,0,1,0,1
ID,Twin Falls County,0,1,0,0,1,0,1
ID,Valley County,0,1,1,0,1,0,0
ID,Washington County,0,1,0,0,0,0,0
IL,Adams County,0,1,1,0,1,0,0
IL,Alexander County,0,1,0,0,0,0,0
IL,Bond County,0,1,1,0,1,0,0
IL,Boone County,0,1,1,1,0,0,1
IL,Brown County,0,1,0,0,0,0,0
IL,Bureau County,0,1,0,0,1,0,0
IL,Calhoun County,0,1,0,1,1,0,0
IL,Carroll County,0,1,0,0,1,0,0
IL,Cass County,0,1,0,0,1,0,0
IL,Champaign County,1,0,1,0,0,0,1
