diet,politics
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Liberal
Vegetarian or Vegan,Moderate
Vegetarian or Vegan,Moderate
Vegetarian or Vegan,Moderate
Vegetarian or Vegan,Moderate
Vegetarian or Vegan,Moderate
Vegetarian or Vegan,Moderate
Vegetarian or Vegan,Moderate
